"PLT_CN","SPCD","SEED.PRES","fire.sev","PREV_BAH","ECOSUBCD","mult.comp.coexist","MAT_ref_mean","MAT_maxanom","MAT_maxanom.z","MAT_maxanom_2050","MAT_maxanom_2050.z","MAT_maxanom_2080","MAT_maxanom_2080.z","CMD_ref_mean","CMD_maxanom","CMD_maxanom.z","CMD_maxanom_2050","CMD_maxanom_2050.z","CMD_maxanom_2080","CMD_maxanom_2080.z"
216960169020004,93,1,0,12.24088958,"M332Gf","reassembly",4.58064516129032,1.31935483870968,1.72113902661158,2.71935483870968,3.5474821502043,4.61935483870968,6.02609067508014,341.612903225806,88.3870967741935,1.11601009870305,77.3870967741935,0.977119790798761,121.387096774194,1.5326810224159
216960170020004,19,1,0,4.183578632,"M332Ge","reassembly",2.07741935483871,1.32258064516129,1.70487971417819,2.82258064516129,3.63846280464857,4.62258064516129,5.95876251321303,284.290322580645,76.7096774193548,1.04433014276312,70.7096774193548,0.962645783404861,115.709677419355,1.5752784785918
216960170020004,93,0,0,4.183578632,"M332Ge","reassembly",2.07741935483871,1.32258064516129,1.70487971417819,2.82258064516129,3.63846280464857,4.62258064516129,5.95876251321303,284.290322580645,76.7096774193548,1.04433014276312,70.7096774193548,0.962645783404861,115.709677419355,1.5752784785918
216960172020004,19,1,0,12.64022482,"M333Ag","reassembly",4.03548387096774,1.26451612903226,1.60719189173736,2.76451612903226,3.51368227351765,4.66451612903226,5.92857009043934,302.193548387097,68.8064516129032,0.925888925146288,89.8064516129032,1.20847387135831,137.806451612903,1.85438231984292
216960172020004,93,1,0,12.64022482,"M333Ag","reassembly",4.03548387096774,1.26451612903226,1.60719189173736,2.76451612903226,3.51368227351765,4.66451612903226,5.92857009043934,302.193548387097,68.8064516129032,0.925888925146288,89.8064516129032,1.20847387135831,137.806451612903,1.85438231984292
216960217020004,19,0,0,20.86939143,"M242Cb","resilience",5.66774193548387,1.23225806451613,1.90234105681035,2.43225806451613,3.75488260951572,4.23225806451613,6.53369493857378,368.096774193548,34.9032258064516,0.693189088072323,92.9032258064516,1.84508740632929,138.903225806452,2.75866193460205
216960217020004,93,1,0,20.86939143,"M242Cb","resilience",5.66774193548387,1.23225806451613,1.90234105681035,2.43225806451613,3.75488260951572,4.23225806451613,6.53369493857378,368.096774193548,34.9032258064516,0.693189088072323,92.9032258064516,1.84508740632929,138.903225806452,2.75866193460205
216960252020004,19,1,0,9.768930855,"M242Dd","replacement",1.79354838709677,2.50645161290323,3.34553476922634,2.50645161290323,3.34553476922634,4.40645161290323,5.88159651835673,189.064516129032,120.935483870968,1.97273115335006,87.9354838709677,1.43442654682109,131.935483870968,2.15216602219305
216960252020004,93,0,0,9.768930855,"M242Dd","replacement",1.79354838709677,2.50645161290323,3.34553476922634,2.50645161290323,3.34553476922634,4.40645161290323,5.88159651835673,189.064516129032,120.935483870968,1.97273115335006,87.9354838709677,1.43442654682109,131.935483870968,2.15216602219305
216960642020004,19,1,0,15.51928993,"M242Dd","replacement",2.8258064516129,1.3741935483871,1.8507563590487,2.5741935483871,3.46690979934475,4.4741935483871,6.02581941314682,220.258064516129,54.741935483871,0.791408032315479,88.741935483871,1.28294843659392,135.741935483871,1.96243076015529
216960642020004,93,0,0,15.51928993,"M242Dd","replacement",2.8258064516129,1.3741935483871,1.8507563590487,2.5741935483871,3.46690979934475,4.4741935483871,6.02581941314682,220.258064516129,54.741935483871,0.791408032315479,88.741935483871,1.28294843659392,135.741935483871,1.96243076015529
